igala,english
"Amo̩ma e̩ne̩ke̩le̩ Kush la che; Seba, kpai Hafila, kpai Sabta, kpai Raama, kpai Sabte̩ka. Amo̩ma Raama la che: Shiba kpai Dedan.","And God looked upon the earth, and, behold, it was corrupt; for all flesh had corrupted his way upon the earth."
"Oñ amo̩ma e̩ne̩ke̩le̩ Gome̩r che: Ashkenaz, kpai Rifat, kpai Togarma.",But Noah found grace in the eyes of the LORD.
"Chai e-kʼabo okolobia je̩ kate, kpai ukpe̩ aboke̩le̩ ku ma lebʼumi; Ane̩r kpai E̩shko̩l, kpai Mamre le̩ ki gba ukpe̩ e-ma.
O̩jo̩ ka kʼi adʼo̩ma ñw Ebraham, kpai ane̩ Kenan ge̩","And the dove came in to him in the evening; and, lo, in her mouth
was an olive leaf pluckt off: so Noah knew that the waters were abated from off the earth."
"Ade̩m ño̩ fʼo̩ya-wñ ma ge̩, oñ i fʼo̩me̩ne̩ke̩le̩ bi i la dʼodu-wñ ko̩ Se̩t, todu O̩jo̩ mʼugbe̩ omune̩ dute̩ ñwu mi koji Ebe̩l me̩, todu Ken fʼowñ kpa.","And the LORD God said unto the serpent, Because thou hast done this, thou
art cursed above all cattle, and above every beast of the field; upon thy belly shalt thou go, and dust shalt thou eat all the days of thy life:"
"Ma la bi Irad ñw Ino̩k; Irad la bi Me̩hujae̩l, Me̩hujae̩l la bi Me̩tushae̩l, Me̩tushae̩l la bi Lame̩k.","And the eyes of them both were opened, and they knew that they
were naked; and they sewed fig leaves together, and made themselves aprons."
"E̩ ki che ope̩ o̩ko̩ le̩, ki bo̩ ohibaʼka ate̩-wñ; e̩ fʼalugbo̩na o̩ko̩ che akolo-wñ o̩wo̩ʼka; uwe̩ ki che kʼi ne̩ unyi o̩gane̩, kʼi nʼekeji ate̩-wñ, e̩ke̩ta ki la de̩ otitala-wñ ate̩.","If Cain shall be avenged sevenfold, truly Lamech seventy and sevenfold."
"I chʼomi, go, alo-mi kʼu kpe̩ i chʼomi kpai uwe̩, uwe̩ la achʼata abo uche̩ichi ojoji ojoji wewe.","And I, behold, I establish my covenant with you, and with your seed after you;"
O̩takada o̩lo̩pu Ade̩m o̩gba o̩gba de̩. Iko o̩jo̩ kʼO̩jo̩ nyi one̩ i chʼo kʼi biu O̩jo̩.,"Unto the woman he said, I will greatly multiply thy sorrow and thy conception; in sorrow thou shalt bring forth children; and thy desire
shall be to thy husband, and he shall rule over thee."
"Abe̩le̩ O̩jo̩ nyi ame̩la lile ki jʼef omi, kpai onugo e̩wñ iñmi du ki achiche̩, e-ki che̩ko̩ ef omi, uche̩ uche̩-ma, kpai e̩we̩ du ki nʼika uche̩ uche̩-wñ: O̩jo̩ la li kʼi nyo̩.","And God set them in the firmament of the heaven to give light upon the earth,"
"O̩jo̩ Chamachala kʼi nʼele,
Owñ ki mʼame̩nebi-we̩ ko jʼef o̩wo̩-we̩ le̩!
Tak i fʼe̩wñ le̩ du kpe̩ e̩gwa e̩gwa, oñ i mʼojiʼka ko ñw u.","But the dove found no rest for the sole of her foot, and she returned unto him into the ark, for the waters
were on the face of the whole earth: then he put forth his hand, and took her, and pulled her in unto him into the ark."
Oñ Arpaksad bi Shela; Shela la bi E̩be̩r.,"And take thou unto thee of all food that is eaten, and thou shalt gather
it to thee; and it shall be for food for thee, and for them."
"Oñ i ño̩ je̩ o̩jo̩ mebie omune̩ ge̩, tak i je̩ ñw ikede le̩ le dufu; i laño̩ dabi wʼugbo-wñ ge̩ n.",And all the days of Enos were nine hundred and five years: and he died.
"Oñ Haran leku dʼo̩gba ata-wñ Te̩ra ane̩ ugbo ku ma jʼubi-wñ, ane̩ Ur e-abo Kaldia le̩.","Of every clean beast thou shalt take to thee by sevens, the male and his female: and of beasts that
are not clean by two, the male and his female."
"Oñ i fʼe̩wñ du ki deju ane̩ kpalu, tʼone̩, tʼame̩la abe̩re̩me̩le̩, tʼame̩wñ ki afa, tʼame̩we̩ ojale; ma la fʼu kpalu bʼane̩-ile̩ te̩. Oñ i bo̩ Noa kate kpai abo ku ma jʼugbo-wñ ef o̩ko̩ le̩.",And all the days of Seth were nine hundred and twelve years: and he died.
"Abu kʼi fʼIno̩sh bi Se̩t ño̩ deju o̩do̩ icham nyoke mebie, i laño̩ bi amo̩ma e̩ne̩ke̩le̩ kpai onobule̩.","And the LORD God said, Behold, the man is become as one of us, to know good and evil: and now, lest he put forth his hand, and take also of the tree of life, and eat, and live for ever:"
"Abe̩le̩ Ebram mute̩gu kwʼIjipti alo, owñ kpai o̩ya-wñ, kpai e̩wñ du kʼi ne̩, Lo̩t la dʼugbo-wñ, ma le tʼo̩wo̩ o̩pata o̩gane̩.","And every living substance was destroyed which was upon the face of the ground, both man, and cattle, and the creeping things, and the fowl of the heaven; and they were destroyed from the earth: and Noah only remained
alive, and they that
were with him in the ark."
"O̩do̩ Noa du la chʼicham nyʼoli me̩ta; tak i leku.
Amo̩ma Noa","And GOD saw that the wickedness of man
was great in the earth, and
that every imagination of the thoughts of his heart
was
 only evil continually."
"Todule̩ ma do̩ obuga le̩ ko Bir-lehairo̩i; go, i dʼagbagba Kede̩sh kpai Be̩re̩d.",Every moving thing that liveth shall be meat for you; even as the green herb have I given you all things.
"Tak e̩ne̩ʼka kʼi fʼuma o̩wo̩ lewa ka ñw Ebram, e̩ne̩ Hibru, kʼi la gugu ugbo te̩re̩bint e-Mamre e̩ne̩ Amo̩r, kʼi chʼo̩maye E̩shko̩l le̩, kpai o̩maye Ane̩r; abo le̩ chʼame̩ne̩-uma Ebram.","The fountains also of the deep and the windows of heaven were stopped, and the rain from heaven was restrained;"
"Taki Noa ledufu, kpai amo̩ma-wñ kpai o̩ya-wñ kpai amo̩ya amo̩ma-wñ manyʼowñ.",And all the days of Mahalaleel were eight hundred ninety and five years: and he died.
"Tak u nadʼuwe̩ che abo uche̩ichi elile, oñ nade̩nyo̩ ñw e̩, nache odu-we̩ ki nana, uwe̩ ki la mud e̩nyo̩ ñw amone̩.","Of clean beasts, and of beasts that
are not clean, and of fowls, and of every thing that creepeth upon the earth,"
"E̩wñ du ki achiche̩ ki añmiñmi achʼuje̩wñ todu me̩; dabalu kʼe̩wñ oko emimi de̩, abe̩le̩ omi mʼo̩chaka e̩wñ du ko ñwu me̩ me̩.","And Enoch walked with God: and he
was not; for God took him."
"Iche̩wñ ku ma akpʼo̩chi Ken onu mebie,
mak e-Lame̩k achʼe̩te̩gwa nyoke mebie.","And the LORD God said unto the woman, What
is this
that
 thou hast done? And the woman said, The serpent beguiled me, and I did eat."
O̩jo̩ kʼAde̩m deju chaka du la chʼo̩do̩ icham nyʼo̩gbo̩ me̩fa nyoke me̩gwa; tak i leku.,And Adam called his wife’s name Eve; because she was the mother of all living.
"Ane̩-ile̩-i la mubie̩ te̩ eju O̩jo̩, oñ o̩lachi che̩ko̩ ane̩-ile̩.","And Lamech took unto him two wives: the name of the one
was
 Adah, and the name of the other Zillah."
"Ame̩wñ iñmi du kʼi chʼo̩re̩la ki dʼugbo-we̩ tʼame̩we̩, tʼame̩la abe̩re̩me̩le̩, tʼame̩wñ ki afa e-ki afa ane̩-ile̩-i e̩ nako dufu kpai uwe̩, ku ma ki rabi ane̩-ile̩, ku ma la bi o̩ma, ku ma ño̩ wewe nyo̩gba ane̩-ile̩.","And Mahalaleel lived after he begat Jared eight hundred and thirty years, and begat sons and daughters:"
